Model,Framework,Scenario,Problem,Runs,Successes
claude-3.5-sonnet,react,blogging,addAltTextToImage,10,10
claude-3.5-sonnet,react,blogging,addCanonicalUrl,10,10
claude-3.5-sonnet,react,blogging,addComment,10,10
claude-3.5-sonnet,react,blogging,addMetaDescription,10,10
claude-3.5-sonnet,react,blogging,addMetaKeywords,10,10
claude-3.5-sonnet,react,blogging,addMetaTitle,10,10
claude-3.5-sonnet,react,blogging,addSitemap,10,10
claude-3.5-sonnet,react,blogging,addStructuredData,10,10
claude-3.5-sonnet,react,blogging,analyzeCommentSentiment,10,0
claude-3.5-sonnet,react,blogging,analyzeKeywordDensity,10,10
claude-3.5-sonnet,react,blogging,analyzeReaderEngagement,10,0
claude-3.5-sonnet,react,blogging,approveRejectComments,10,10
claude-3.5-sonnet,react,blogging,assignPostToCategory,10,10
claude-3.5-sonnet,react,blogging,assignTagsToPost,10,0
claude-3.5-sonnet,react,blogging,checkForBrokenLinks,10,10
claude-3.5-sonnet,react,blogging,createBlogPost,10,10
claude-3.5-sonnet,react,blogging,createCategory,10,10
claude-3.5-sonnet,react,blogging,createTag,10,10
claude-3.5-sonnet,react,blogging,deleteBlogPost,10,10
claude-3.5-sonnet,react,blogging,deleteCategory,10,10
claude-3.5-sonnet,react,blogging,deleteComment,10,10
claude-3.5-sonnet,react,blogging,deleteTag,10,10
claude-3.5-sonnet,react,blogging,dislikeComment,10,10
claude-3.5-sonnet,react,blogging,draftBlogPost,10,10
claude-3.5-sonnet,react,blogging,editBlogPost,10,0
claude-3.5-sonnet,react,blogging,editCategory,10,0
claude-3.5-sonnet,react,blogging,editComment,10,0
claude-3.5-sonnet,react,blogging,editTag,10,0
claude-3.5-sonnet,react,blogging,likeComment,10,10
claude-3.5-sonnet,react,blogging,postPerformanceReport,10,0
claude-3.5-sonnet,react,blogging,publishBlogPost,10,10
claude-3.5-sonnet,react,blogging,replyToComment,10,10
claude-3.5-sonnet,react,blogging,reportComment,10,10
claude-3.5-sonnet,react,blogging,retrieveAllBlogPosts,10,7
claude-3.5-sonnet,react,blogging,retrieveCommentCount,10,10
claude-3.5-sonnet,react,blogging,retrieveComments,10,10
claude-3.5-sonnet,react,blogging,retrieveDraftBlogPosts,10,10
claude-3.5-sonnet,react,blogging,retrieveOverallSiteAnalytics,10,10
claude-3.5-sonnet,react,blogging,retrievePostAnalytics,10,0
claude-3.5-sonnet,react,blogging,retrievePostsByCategory,10,10
claude-3.5-sonnet,react,blogging,retrievePostsByTag,10,10
claude-3.5-sonnet,react,blogging,retrievePublishedBlogPosts,10,10
claude-3.5-sonnet,react,blogging,retrieveScheduledBlogPosts,10,10
claude-3.5-sonnet,react,blogging,schedulePostForPublication,10,10
claude-3.5-sonnet,react,blogging,seoAuditReport,10,10
claude-3.5-sonnet,react,blogging,trackBounceRate,10,10
claude-3.5-sonnet,react,blogging,trackPostLikesAndDislikes,10,10
claude-3.5-sonnet,react,blogging,trackPostShares,10,10
claude-3.5-sonnet,react,blogging,trackPostViews,10,10
claude-3.5-sonnet,react,blogging,trackUniqueVisitorsPerPost,10,10
claude-3.5-sonnet,react,customersupport,addArticle,10,10
claude-3.5-sonnet,react,customersupport,agentNotification,10,10
claude-3.5-sonnet,react,customersupport,agentPerformanceTracking,10,10
claude-3.5-sonnet,react,customersupport,agentTracking,10,10
claude-3.5-sonnet,react,customersupport,archiveArticle,10,10
claude-3.5-sonnet,react,customersupport,autoResponseSending,10,10
claude-3.5-sonnet,react,customersupport,autoResponseTemplates,10,10
claude-3.5-sonnet,react,customersupport,autoResponseTracking,10,10
claude-3.5-sonnet,react,customersupport,categorizeArticles,10,0
claude-3.5-sonnet,react,customersupport,customNotificationRules,10,10
claude-3.5-sonnet,react,customersupport,customNotificationTracking,10,10
claude-3.5-sonnet,react,customersupport,customReportCreation,10,10
claude-3.5-sonnet,react,customersupport,customReportSharing,10,10
claude-3.5-sonnet,react,customersupport,deleteArticle,10,10
claude-3.5-sonnet,react,customersupport,editArticle,10,10
claude-3.5-sonnet,react,customersupport,emailNotifications,10,10
claude-3.5-sonnet,react,customersupport,fileAttachments,10,10
claude-3.5-sonnet,react,customersupport,inAppNotifications,10,10
claude-3.5-sonnet,react,customersupport,internalNotes,10,10
claude-3.5-sonnet,react,customersupport,notificationDeliveryTracking,10,0
claude-3.5-sonnet,react,customersupport,notificationPreferences,10,10
claude-3.5-sonnet,react,customersupport,rateArticles,10,10
claude-3.5-sonnet,react,customersupport,reportExport,10,10
claude-3.5-sonnet,react,customersupport,responseHistory,10,10
claude-3.5-sonnet,react,customersupport,responseTimeAnalysis,10,10
claude-3.5-sonnet,react,customersupport,restoreArchivedArticle,10,10
claude-3.5-sonnet,react,customersupport,searchArticles,10,0
claude-3.5-sonnet,react,customersupport,slaBreachNotification,10,10
claude-3.5-sonnet,react,customersupport,slaComplianceTracking,10,10
claude-3.5-sonnet,react,customersupport,slaPerformanceReporting,10,10
claude-3.5-sonnet,react,customersupport,smsNotifications,10,10
claude-3.5-sonnet,react,customersupport,suggestArticles,10,0
claude-3.5-sonnet,react,customersupport,ticketAssignment,10,10
claude-3.5-sonnet,react,customersupport,ticketCategorization,10,10
claude-3.5-sonnet,react,customersupport,ticketComments,10,10
claude-3.5-sonnet,react,customersupport,ticketEscalation,10,10
claude-3.5-sonnet,react,customersupport,ticketListDisplay,10,2
claude-3.5-sonnet,react,customersupport,ticketPrioritization,10,10
claude-3.5-sonnet,react,customersupport,ticketReassignment,10,10
claude-3.5-sonnet,react,customersupport,ticketResolutionRate,10,10
claude-3.5-sonnet,react,customersupport,ticketSorting,10,10
claude-3.5-sonnet,react,customersupport,ticketStatusChange,10,10
claude-3.5-sonnet,react,customersupport,ticketStatusFilter,10,0
claude-3.5-sonnet,react,customersupport,ticketStatusNotification,10,10
claude-3.5-sonnet,react,customersupport,ticketSubmission,10,0
claude-3.5-sonnet,react,customersupport,ticketVolume,10,10
claude-3.5-sonnet,react,customersupport,trackArticleViews,10,10
claude-3.5-sonnet,react,customersupport,uniqueTicketId,10,10
claude-3.5-sonnet,react,customersupport,userReply,10,10
claude-3.5-sonnet,react,customersupport,userResponseNotification,10,10
claude-3.5-sonnet,react,ecommerce,addProductReview,10,10
