Model,Framework,Scenario,Problem,Runs,Successes
chatgpt-4o-latest,react,blogging,addAltTextToImage_postPerformanceReport,1,0
chatgpt-4o-latest,react,blogging,addCanonicalUrl_addComment,1,1
chatgpt-4o-latest,react,blogging,addCanonicalUrl_assignPostToCategory,1,1
chatgpt-4o-latest,react,blogging,addCanonicalUrl_editComment,1,1
chatgpt-4o-latest,react,blogging,addCanonicalUrl_editTag,1,1
chatgpt-4o-latest,react,blogging,addCanonicalUrl_retrievePostsByCategory,1,0
chatgpt-4o-latest,react,blogging,addComment_addStructuredData,1,1
chatgpt-4o-latest,react,blogging,addComment_retrieveAllBlogPosts,1,1
chatgpt-4o-latest,react,blogging,addComment_schedulePostForPublication,1,0
chatgpt-4o-latest,react,blogging,addMetaDescription_deleteTag,1,1
chatgpt-4o-latest,react,blogging,addMetaDescription_retrieveDraftBlogPosts,1,0
chatgpt-4o-latest,react,blogging,addMetaKeywords_approveRejectComments,1,1
chatgpt-4o-latest,react,blogging,addMetaKeywords_deleteCategory,1,1
chatgpt-4o-latest,react,blogging,addMetaKeywords_dislikeComment,1,1
chatgpt-4o-latest,react,blogging,addMetaTitle_assignTagsToPost,1,1
chatgpt-4o-latest,react,blogging,addMetaTitle_editTag,1,1
chatgpt-4o-latest,react,blogging,addMetaTitle_trackPostShares,1,1
chatgpt-4o-latest,react,blogging,addSitemap_analyzeCommentSentiment,1,0
chatgpt-4o-latest,react,blogging,addSitemap_retrieveScheduledBlogPosts,1,1
chatgpt-4o-latest,react,blogging,analyzeKeywordDensity_retrieveScheduledBlogPosts,1,1
chatgpt-4o-latest,react,blogging,analyzeReaderEngagement_checkForBrokenLinks,1,0
chatgpt-4o-latest,react,blogging,analyzeReaderEngagement_deleteComment,1,0
chatgpt-4o-latest,react,blogging,approveRejectComments_deleteCategory,1,1
chatgpt-4o-latest,react,blogging,approveRejectComments_editComment,1,1
chatgpt-4o-latest,react,blogging,assignPostToCategory_publishBlogPost,1,1
chatgpt-4o-latest,react,blogging,checkForBrokenLinks_seoAuditReport,1,1
